"interaction","name","selected","shared interaction","shared name","stringdb::coexpression","stringdb::cooccurrence","stringdb::databases","stringdb::experiments","stringdb::fusion","stringdb::interspecies","stringdb::neighborhood","stringdb::score","stringdb::textmining"
"pp","9606.ENSP00000159060 (pp) 9606.ENSP00000342848","false","pp","9606.ENSP00000159060 (pp) 9606.ENSP00000342848","0.067","0.209","0.54","0.0","0.0",,"0.0","0.989","0.971"
"pp","9606.ENSP00000159060 (pp) 9606.ENSP00000367851","false","pp","9606.ENSP00000159060 (pp) 9606.ENSP00000367851","0.0","0.059","0.54","0.0","0.0",,"0.0","0.991","0.982"
"pp","9606.ENSP00000159060 (pp) 9606.ENSP00000362057","false","pp","9606.ENSP00000159060 (pp) 9606.ENSP00000362057","0.058","0.062","0.54","0.0","0.0",,"0.0","0.991","0.982"
"pp","9606.ENSP00000159060 (pp) 9606.ENSP00000263317","false","pp","9606.ENSP00000159060 (pp) 9606.ENSP00000263317","0.0","0.108","0.54","0.095","0.0",,"0.0","0.992","0.982"
"pp","9606.ENSP00000159060 (pp) 9606.ENSP00000380450","false","pp","9606.ENSP00000159060 (pp) 9606.ENSP00000380450","0.055","0.0","0.54","0.0","0.0",,"0.0","0.996","0.992"
"pp","9606.ENSP00000222254 (pp) 9606.ENSP00000496959","false","pp","9606.ENSP00000222254 (pp) 9606.ENSP00000496959","0.047","0.0","0.9","0.0","0.0",,"0.0","0.903","0.072"
"pp","9606.ENSP00000222254 (pp) 9606.ENSP00000380948","false","pp","9606.ENSP00000222254 (pp) 9606.ENSP00000380948","0.042","0.0","0.9","0.0","0.0",,"0.0","0.909","0.129"
"pp","9606.ENSP00000222254 (pp) 9606.ENSP00000363089","false","pp","9606.ENSP00000222254 (pp) 9606.ENSP00000363089","0.0","0.0","0.9","0.0","0.0",,"0.0","0.912","0.162"
"pp","9606.ENSP00000222254 (pp) 9606.ENSP00000371067","false","pp","9606.ENSP00000222254 (pp) 9606.ENSP00000371067","0.0","0.0","0.9","0.093","0.0",,"0.0","0.923","0.226"
"pp","9606.ENSP00000222254 (pp) 9606.ENSP00000401888","false","pp","9606.ENSP00000222254 (pp) 9606.ENSP00000401888","0.082","0.0","0.9","0.093","0.0",,"0.0","0.925","0.206"
"pp","9606.ENSP00000222254 (pp) 9606.ENSP00000428924","false","pp","9606.ENSP00000222254 (pp) 9606.ENSP00000428924","0.0","0.0","0.9","0.165","0.0",,"0.0","0.93","0.229"
"pp","9606.ENSP00000222254 (pp) 9606.ENSP00000407586","false","pp","9606.ENSP00000222254 (pp) 9606.ENSP00000407586","0.059","0.0","0.9","0.065","0.0",,"0.0","0.93","0.305"
"pp","9606.ENSP00000222254 (pp) 9606.ENSP00000358548","false","pp","9606.ENSP00000222254 (pp) 9606.ENSP00000358548","0.042","0.0","0.9","0.065","0.0",,"0.0","0.933","0.345"
"pp","9606.ENSP00000222254 (pp) 9606.ENSP00000256078","false","pp","9606.ENSP00000222254 (pp) 9606.ENSP00000256078","0.047","0.0","0.9","0.147","0.0",,"0.0","0.946","0.417"
"pp","9606.ENSP00000222254 (pp) 9606.ENSP00000362680","false","pp","9606.ENSP00000222254 (pp) 9606.ENSP00000362680","0.044","0.0","0.9","0.33","0.0",,"0.0","0.959","0.446"
"pp","9606.ENSP00000222254 (pp) 9606.ENSP00000364898","false","pp","9606.ENSP00000222254 (pp) 9606.ENSP00000364898","0.049","0.0","0.9","0.271","0.0",,"0.0","0.964","0.552"
"pp","9606.ENSP00000222254 (pp) 9606.ENSP00000275493","false","pp","9606.ENSP00000222254 (pp) 9606.ENSP00000275493","0.044","0.0","0.9","0.848","0.0",,"0.0","0.993","0.623"
"pp","9606.ENSP00000222254 (pp) 9606.ENSP00000262741","false","pp","9606.ENSP00000222254 (pp) 9606.ENSP00000262741","0.049","0.049","0.9","0.835","0.0",,"0.0","0.999","0.957"
"pp","9606.ENSP00000222254 (pp) 9606.ENSP00000501150","false","pp","9606.ENSP00000222254 (pp) 9606.ENSP00000501150","0.0","0.0","0.914","0.916","0.0",,"0.0","0.999","0.996"
"pp","9606.ENSP00000222254 (pp) 9606.ENSP00000366563","false","pp","9606.ENSP00000222254 (pp) 9606.ENSP00000366563","0.042","0.0","0.914","0.563","0.0",,"0.0","0.999","0.996"
"pp","9606.ENSP00000226574 (pp) 9606.ENSP00000358548","false","pp","9606.ENSP00000226574 (pp) 9606.ENSP00000358548","0.053","0.0","0.5","0.102","0.0",,"0.0","0.713","0.405"
"pp","9606.ENSP00000226574 (pp) 9606.ENSP00000376445","false","pp","9606.ENSP00000226574 (pp) 9606.ENSP00000376445","0.09","0.0","0.0","0.0","0.0",,"0.0","0.719","0.704"
"pp","9606.ENSP00000226574 (pp) 9606.ENSP00000407586","false","pp","9606.ENSP00000226574 (pp) 9606.ENSP00000407586","0.046","0.0","0.5","0.102","0.0",,"0.0","0.725","0.435"
"pp","9606.ENSP00000226574 (pp) 9606.ENSP00000284818","false","pp","9606.ENSP00000226574 (pp) 9606.ENSP00000284818","0.123","0.0","0.0","0.0","0.0",,"0.0","0.725","0.7"
"pp","9606.ENSP00000226574 (pp) 9606.ENSP00000346839","false","pp","9606.ENSP00000226574 (pp) 9606.ENSP00000346839","0.0","0.0","0.0","0.0","0.0",,"0.0","0.729","0.729"
"pp","9606.ENSP00000226574 (pp) 9606.ENSP00000364898","false","pp","9606.ENSP00000226574 (pp) 9606.ENSP00000364898","0.14","0.0","0.0","0.095","0.0",,"0.0","0.741","0.694"
"pp","9606.ENSP00000226574 (pp) 9606.ENSP00000362680","false","pp","9606.ENSP00000226574 (pp) 9606.ENSP00000362680","0.08","0.0","0.0","0.095","0.0",,"0.0","0.756","0.731"
"pp","9606.ENSP00000226574 (pp) 9606.ENSP00000294728","false","pp","9606.ENSP00000226574 (pp) 9606.ENSP00000294728","0.107","0.0","0.0","0.0","0.0",,"0.0","0.769","0.752"
"pp","9606.ENSP00000226574 (pp) 9606.ENSP00000354932","false","pp","9606.ENSP00000226574 (pp) 9606.ENSP00000354932","0.145","0.0","0.0","0.093","0.0",,"0.0","0.77","0.727"
"pp","9606.ENSP00000226574 (pp) 9606.ENSP00000364210","false","pp","9606.ENSP00000226574 (pp) 9606.ENSP00000364210","0.0","0.0","0.4","0.05","0.0",,"0.0","0.776","0.64"
"pp","9606.ENSP00000226574 (pp) 9606.ENSP00000361405","false","pp","9606.ENSP00000226574 (pp) 9606.ENSP00000361405","0.106","0.0","0.0","0.0","0.0",,"0.0","0.802","0.788"
"pp","9606.ENSP00000226574 (pp) 9606.ENSP00000256078","false","pp","9606.ENSP00000226574 (pp) 9606.ENSP00000256078","0.053","0.0","0.5","0.102","0.0",,"0.0","0.805","0.596"
"pp","9606.ENSP00000226574 (pp) 9606.ENSP00000353874","false","pp","9606.ENSP00000226574 (pp) 9606.ENSP00000353874","0.0","0.0","0.0","0.093","0.0",,"0.0","0.828","0.819"
"pp","9606.ENSP00000226574 (pp) 9606.ENSP00000275493","false","pp","9606.ENSP00000226574 (pp) 9606.ENSP00000275493","0.05","0.0","0.0","0.045","0.0",,"0.0","0.837","0.835"
"pp","9606.ENSP00000226574 (pp) 9606.ENSP00000302961","false","pp","9606.ENSP00000226574 (pp) 9606.ENSP00000302961","0.125","0.0","0.0","0.335","0.0",,"0.0","0.857","0.773"
"pp","9606.ENSP00000226574 (pp) 9606.ENSP00000256458","false","pp","9606.ENSP00000226574 (pp) 9606.ENSP00000256458","0.199","0.0","0.5","0.095","0.0",,"0.0","0.865","0.671"
"pp","9606.ENSP00000226574 (pp) 9606.ENSP00000284981","false","pp","9606.ENSP00000226574 (pp) 9606.ENSP00000284981","0.042","0.0","0.4","0.071","0.0",,"0.0","0.87","0.785"
"pp","9606.ENSP00000226574 (pp) 9606.ENSP00000263025","false","pp","9606.ENSP00000226574 (pp) 9606.ENSP00000263025","0.059","0.0","0.0","0.072","0.0",,"0.0","0.881","0.874"
"pp","9606.ENSP00000226574 (pp) 9606.ENSP00000361359","false","pp","9606.ENSP00000226574 (pp) 9606.ENSP00000361359","0.073","0.0","0.0","0.0","0.0",,"0.0","0.898","0.895"
"pp","9606.ENSP00000226574 (pp) 9606.ENSP00000264832","false","pp","9606.ENSP00000226574 (pp) 9606.ENSP00000264832","0.22","0.0","0.0","0.0","0.0",,"0.0","0.903","0.881"
"pp","9606.ENSP00000226574 (pp) 9606.ENSP00000345347","false","pp","9606.ENSP00000226574 (pp) 9606.ENSP00000345347","0.111","0.0","0.4","0.294","0.0",,"0.0","0.923","0.82"
"pp","9606.ENSP00000226574 (pp) 9606.ENSP00000296435","false","pp","9606.ENSP00000226574 (pp) 9606.ENSP00000296435","0.09","0.0","0.9","0.0","0.0",,"0.0","0.938","0.377"
"pp","9606.ENSP00000226574 (pp) 9606.ENSP00000401888","false","pp","9606.ENSP00000226574 (pp) 9606.ENSP00000401888","0.072","0.0","0.9","0.095","0.0",,"0.0","0.94","0.37"
"pp","9606.ENSP00000226574 (pp) 9606.ENSP00000263339","false","pp","9606.ENSP00000226574 (pp) 9606.ENSP00000263339","0.176","0.0","0.4","0.0","0.0",,"0.0","0.946","0.9"
"pp","9606.ENSP00000226574 (pp) 9606.ENSP00000306512","false","pp","9606.ENSP00000226574 (pp) 9606.ENSP00000306512","0.143","0.0","0.9","0.0","0.0",,"0.0","0.988","0.881"
"pp","9606.ENSP00000226574 (pp) 9606.ENSP00000260010","false","pp","9606.ENSP00000226574 (pp) 9606.ENSP00000260010","0.167","0.0","0.9","0.093","0.0",,"0.0","0.992","0.91"
"pp","9606.ENSP00000226574 (pp) 9606.ENSP00000363089","false","pp","9606.ENSP00000226574 (pp) 9606.ENSP00000363089","0.116","0.0","0.9","0.093","0.0",,"0.0","0.993","0.932"
"pp","9606.ENSP00000226574 (pp) 9606.ENSP00000385675","false","pp","9606.ENSP00000226574 (pp) 9606.ENSP00000385675","0.176","0.0","0.9","0.0","0.0",,"0.0","0.994","0.942"
"pp","9606.ENSP00000226574 (pp) 9606.ENSP00000263341","false","pp","9606.ENSP00000226574 (pp) 9606.ENSP00000263341","0.2","0.0","0.9","0.0","0.0",,"0.0","0.996","0.959"
"pp","9606.ENSP00000226574 (pp) 9606.ENSP00000398698","false","pp","9606.ENSP00000226574 (pp) 9606.ENSP00000398698","0.194","0.0","0.9","0.0","0.0",,"0.0","0.999","0.995"
"pp","9606.ENSP00000227667 (pp) 9606.ENSP00000284981","false","pp","9606.ENSP00000227667 (pp) 9606.ENSP00000284981","0.0","0.0","0.72","0.0","0.0",,"0.0","0.766","0.2"
"pp","9606.ENSP00000227667 (pp) 9606.ENSP00000237014","false","pp","9606.ENSP00000227667 (pp) 9606.ENSP00000237014","0.488","0.0","0.0","0.0","0.0",,"0.0","0.771","0.571"
"pp","9606.ENSP00000227667 (pp) 9606.ENSP00000261693","false","pp","9606.ENSP00000227667 (pp) 9606.ENSP00000261693","0.083","0.0","0.0","0.0","0.0",,"0.0","0.842","0.835"
"pp","9606.ENSP00000227667 (pp) 9606.ENSP00000384906","false","pp","9606.ENSP00000227667 (pp) 9606.ENSP00000384906","0.0","0.0","0.54","0.0","0.0",,"0.0","0.889","0.77"
"pp","9606.ENSP00000227667 (pp) 9606.ENSP00000295897","false","pp","9606.ENSP00000227667 (pp) 9606.ENSP00000295897","0.661","0.0","0.0","0.077","0.0",,"0.0","0.912","0.744"
"pp","9606.ENSP00000227667 (pp) 9606.ENSP00000260010","false","pp","9606.ENSP00000227667 (pp) 9606.ENSP00000260010","0.0","0.0","0.0","0.0","0.0",,"0.0","0.963","0.963"
"pp","9606.ENSP00000227667 (pp) 9606.ENSP00000252486","false","pp","9606.ENSP00000227667 (pp) 9606.ENSP00000252486","0.131","0.0","0.8","0.0","0.0",,"0.0","0.999","0.998"
"pp","9606.ENSP00000227667 (pp) 9606.ENSP00000236850","false","pp","9606.ENSP00000227667 (pp) 9606.ENSP00000236850","0.83","0.0","0.8","0.077","0.0",,"0.0","0.999","0.998"
"pp","9606.ENSP00000236850 (pp) 9606.ENSP00000264896","false","pp","9606.ENSP00000236850 (pp) 9606.ENSP00000264896","0.0","0.0","0.0","0.0","0.0",,"0.0","0.738","0.738"
"pp","9606.ENSP00000236850 (pp) 9606.ENSP00000346839","false","pp","9606.ENSP00000236850 (pp) 9606.ENSP00000346839","0.08","0.0","0.0","0.111","0.0",,"0.0","0.845","0.826"
"pp","9606.ENSP00000236850 (pp) 9606.ENSP00000384906","false","pp","9606.ENSP00000236850 (pp) 9606.ENSP00000384906","0.0","0.0","0.54","0.0","0.0",,"0.0","0.9","0.792"
"pp","9606.ENSP00000236850 (pp) 9606.ENSP00000415743","false","pp","9606.ENSP00000236850 (pp) 9606.ENSP00000415743","0.0","0.0","0.7","0.0","0.0",,"0.0","0.917","0.737"
"pp","9606.ENSP00000236850 (pp) 9606.ENSP00000284981","false","pp","9606.ENSP00000236850 (pp) 9606.ENSP00000284981","0.0","0.0","0.72","0.627","0.0",,"0.0","0.982","0.849"
"pp","9606.ENSP00000236850 (pp) 9606.ENSP00000237014","false","pp","9606.ENSP00000236850 (pp) 9606.ENSP00000237014","0.453","0.0","0.4","0.127","0.0",,"0.0","0.994","0.982"
"pp","9606.ENSP00000236850 (pp) 9606.ENSP00000295897","false","pp","9606.ENSP00000236850 (pp) 9606.ENSP00000295897","0.537","0.0","0.5","0.128","0.0",,"0.0","0.998","0.994"
"pp","9606.ENSP00000236850 (pp) 9606.ENSP00000252486","false","pp","9606.ENSP00000236850 (pp) 9606.ENSP00000252486","0.222","0.0","0.8","0.114","0.0",,"0.0","0.999","0.999"
"pp","9606.ENSP00000236850 (pp) 9606.ENSP00000261693","false","pp","9606.ENSP00000236850 (pp) 9606.ENSP00000261693","0.09","0.0","0.7","0.292","0.0",,"0.0","0.999","0.998"
"pp","9606.ENSP00000237014 (pp) 9606.ENSP00000384906","false","pp","9606.ENSP00000237014 (pp) 9606.ENSP00000384906","0.0","0.0","0.4","0.0","0.0",,"0.0","0.834","0.736"
"pp","9606.ENSP00000237014 (pp) 9606.ENSP00000364210","false","pp","9606.ENSP00000237014 (pp) 9606.ENSP00000364210","0.0","0.0","0.0","0.37","0.0",,"0.0","0.884","0.824"
"pp","9606.ENSP00000237014 (pp) 9606.ENSP00000252486","false","pp","9606.ENSP00000237014 (pp) 9606.ENSP00000252486","0.092","0.0","0.5","0.0","0.0",,"0.0","0.952","0.903"
"pp","9606.ENSP00000237014 (pp) 9606.ENSP00000284981","false","pp","9606.ENSP00000237014 (pp) 9606.ENSP00000284981","0.0","0.0","0.4","0.712","0.0",,"0.0","0.982","0.907"
"pp","9606.ENSP00000237014 (pp) 9606.ENSP00000295897","false","pp","9606.ENSP00000237014 (pp) 9606.ENSP00000295897","0.432","0.0","0.0","0.125","0.0",,"0.0","0.994","0.99"
"pp","9606.ENSP00000243077 (pp) 9606.ENSP00000295897","false","pp","9606.ENSP00000243077 (pp) 9606.ENSP00000295897","0.0","0.0","0.5","0.0","0.0",,"0.0","0.714","0.453"
"pp","9606.ENSP00000243077 (pp) 9606.ENSP00000264896","false","pp","9606.ENSP00000243077 (pp) 9606.ENSP00000264896","0.08","0.0","0.0","0.0","0.0",,"0.0","0.735","0.723"
"pp","9606.ENSP00000243077 (pp) 9606.ENSP00000415743","false","pp","9606.ENSP00000243077 (pp) 9606.ENSP00000415743","0.109","0.0","0.0","0.0","0.0",,"0.0","0.742","0.722"
"pp","9606.ENSP00000243077 (pp) 9606.ENSP00000261693","false","pp","9606.ENSP00000243077 (pp) 9606.ENSP00000261693","0.068","0.0","0.0","0.0","0.0",,"0.0","0.745","0.738"
"pp","9606.ENSP00000243077 (pp) 9606.ENSP00000363089","false","pp","9606.ENSP00000243077 (pp) 9606.ENSP00000363089","0.076","0.0","0.0","0.042","0.0",,"0.0","0.774","0.765"
"pp","9606.ENSP00000243077 (pp) 9606.ENSP00000364210","false","pp","9606.ENSP00000243077 (pp) 9606.ENSP00000364210","0.048","0.0","0.0","0.0","0.0",,"0.0","0.795","0.794"
"pp","9606.ENSP00000243077 (pp) 9606.ENSP00000345347","false","pp","9606.ENSP00000243077 (pp) 9606.ENSP00000345347","0.0","0.0","0.0","0.0","0.0",,"0.0","0.798","0.798"
"pp","9606.ENSP00000243077 (pp) 9606.ENSP00000275493","false","pp","9606.ENSP00000243077 (pp) 9606.ENSP00000275493","0.126","0.0","0.0","0.629","0.0",,"0.0","0.838","0.54"
"pp","9606.ENSP00000243077 (pp) 9606.ENSP00000361405","false","pp","9606.ENSP00000243077 (pp) 9606.ENSP00000361405","0.044","0.0","0.0","0.0","0.0",,"0.0","0.889","0.889"
"pp","9606.ENSP00000243077 (pp) 9606.ENSP00000361366","false","pp","9606.ENSP00000243077 (pp) 9606.ENSP00000361366","0.043","0.0","0.0","0.0","0.0",,"0.0","0.89","0.89"
"pp","9606.ENSP00000243077 (pp) 9606.ENSP00000284981","false","pp","9606.ENSP00000243077 (pp) 9606.ENSP00000284981","0.113","0.0","0.0","0.552","0.0",,"0.0","0.983","0.962"
"pp","9606.ENSP00000243077 (pp) 9606.ENSP00000302961","false","pp","9606.ENSP00000243077 (pp) 9606.ENSP00000302961","0.0","0.0","0.0","0.0","0.0",,"0.0","0.991","0.991"
