interaction,stringdb::score,stringdb::experiments,stringdb::coexpression,stringdb::cooccurrence,stringdb::textmining
pp,0.989,0.0,0.067,0.209,0.971
pp,0.991,0.0,0.0,0.059,0.982
pp,0.991,0.0,0.058,0.062,0.982
pp,0.992,0.095,0.0,0.108,0.982
pp,0.996,0.0,0.055,0.0,0.992
pp,0.903,0.0,0.047,0.0,0.072
pp,0.909,0.0,0.042,0.0,0.129
pp,0.912,0.0,0.0,0.0,0.162
pp,0.923,0.093,0.0,0.0,0.226
pp,0.925,0.093,0.082,0.0,0.206
pp,0.93,0.165,0.0,0.0,0.229
pp,0.93,0.065,0.059,0.0,0.305
pp,0.933,0.065,0.042,0.0,0.345
pp,0.946,0.147,0.047,0.0,0.417
pp,0.959,0.33,0.044,0.0,0.446
pp,0.964,0.271,0.049,0.0,0.552
pp,0.993,0.848,0.044,0.0,0.623
pp,0.999,0.835,0.049,0.049,0.957
pp,0.999,0.916,0.0,0.0,0.996
pp,0.999,0.563,0.042,0.0,0.996
pp,0.713,0.102,0.053,0.0,0.405
pp,0.719,0.0,0.09,0.0,0.704
pp,0.725,0.102,0.046,0.0,0.435
pp,0.725,0.0,0.123,0.0,0.7
pp,0.729,0.0,0.0,0.0,0.729
pp,0.741,0.095,0.14,0.0,0.694
pp,0.756,0.095,0.08,0.0,0.731
pp,0.769,0.0,0.107,0.0,0.752
pp,0.77,0.093,0.145,0.0,0.727
pp,0.776,0.05,0.0,0.0,0.64
pp,0.802,0.0,0.106,0.0,0.788
pp,0.805,0.102,0.053,0.0,0.596
pp,0.828,0.093,0.0,0.0,0.819
pp,0.837,0.045,0.05,0.0,0.835
pp,0.857,0.335,0.125,0.0,0.773
pp,0.865,0.095,0.199,0.0,0.671
pp,0.87,0.071,0.042,0.0,0.785
pp,0.881,0.072,0.059,0.0,0.874
pp,0.898,0.0,0.073,0.0,0.895
pp,0.903,0.0,0.22,0.0,0.881
pp,0.923,0.294,0.111,0.0,0.82
pp,0.938,0.0,0.09,0.0,0.377
pp,0.94,0.095,0.072,0.0,0.37
pp,0.946,0.0,0.176,0.0,0.9
pp,0.988,0.0,0.143,0.0,0.881
pp,0.992,0.093,0.167,0.0,0.91
pp,0.993,0.093,0.116,0.0,0.932
pp,0.994,0.0,0.176,0.0,0.942
pp,0.996,0.0,0.2,0.0,0.959
pp,0.999,0.0,0.194,0.0,0.995
pp,0.766,0.0,0.0,0.0,0.2
pp,0.771,0.0,0.488,0.0,0.571
pp,0.842,0.0,0.083,0.0,0.835
pp,0.889,0.0,0.0,0.0,0.77
pp,0.912,0.077,0.661,0.0,0.744
pp,0.963,0.0,0.0,0.0,0.963
pp,0.999,0.0,0.131,0.0,0.998
pp,0.999,0.077,0.83,0.0,0.998
pp,0.738,0.0,0.0,0.0,0.738
pp,0.845,0.111,0.08,0.0,0.826
pp,0.9,0.0,0.0,0.0,0.792
pp,0.917,0.0,0.0,0.0,0.737
pp,0.982,0.627,0.0,0.0,0.849
pp,0.994,0.127,0.453,0.0,0.982
pp,0.998,0.128,0.537,0.0,0.994
pp,0.999,0.114,0.222,0.0,0.999
pp,0.999,0.292,0.09,0.0,0.998
pp,0.834,0.0,0.0,0.0,0.736
pp,0.884,0.37,0.0,0.0,0.824
pp,0.952,0.0,0.092,0.0,0.903
pp,0.982,0.712,0.0,0.0,0.907
pp,0.994,0.125,0.432,0.0,0.99
pp,0.714,0.0,0.0,0.0,0.453
pp,0.735,0.0,0.08,0.0,0.723
pp,0.742,0.0,0.109,0.0,0.722
pp,0.745,0.0,0.068,0.0,0.738
pp,0.774,0.042,0.076,0.0,0.765
pp,0.795,0.0,0.048,0.0,0.794
pp,0.798,0.0,0.0,0.0,0.798
pp,0.838,0.629,0.126,0.0,0.54
pp,0.889,0.0,0.044,0.0,0.889
pp,0.89,0.0,0.043,0.0,0.89
pp,0.983,0.552,0.113,0.0,0.962
pp,0.991,0.0,0.0,0.0,0.991
pp,0.999,0.722,0.086,0.0,0.997
pp,0.712,0.045,0.081,0.0,0.699
pp,0.763,0.0,0.0,0.0,0.506
pp,0.769,0.045,0.14,0.0,0.741
pp,0.777,0.0,0.044,0.0,0.776
pp,0.789,0.0,0.054,0.0,0.786
pp,0.795,0.0,0.081,0.0,0.786
pp,0.797,0.0,0.102,0.0,0.784
pp,0.799,0.046,0.113,0.0,0.782
pp,0.806,0.0,0.0,0.0,0.806
pp,0.835,0.0,0.0,0.0,0.835
pp,0.846,0.0,0.087,0.0,0.839
pp,0.953,0.071,0.129,0.0,0.947
pp,0.968,0.115,0.107,0.0,0.963
pp,0.999,0.837,0.068,0.0,0.999
pp,0.717,0.0,0.067,0.0,0.71
pp,0.728,0.0,0.0,0.0,0.48
pp,0.767,0.084,0.0,0.0,0.333
pp,0.82,0.302,0.055,0.0,0.518
pp,0.823,0.0,0.059,0.0,0.82
pp,0.85,0.11,0.079,0.0,0.677
pp,0.874,0.421,0.081,0.0,0.584
pp,0.918,0.068,0.058,0.0,0.182
pp,0.931,0.0,0.067,0.0,0.327
pp,0.936,0.11,0.074,0.0,0.32
pp,0.941,0.285,0.05,0.0,0.245
pp,0.944,0.422,0.095,0.05,0.059
pp,0.944,0.311,0.057,0.0,0.25
pp,0.947,0.095,0.064,0.0,0.456
pp,0.952,0.065,0.0,0.0,0.535
pp,0.956,0.245,0.059,0.0,0.461
pp,0.958,0.434,0.055,0.0,0.313
pp,0.973,0.216,0.07,0.0,0.679
pp,0.974,0.352,0.056,0.0,0.637
pp,0.981,0.313,0.0,0.0,0.752
pp,0.982,0.098,0.056,0.0,0.816
pp,0.99,0.297,0.082,0.0,0.866
pp,0.992,0.883,0.0,0.05,0.411
pp,0.997,0.967,0.055,0.0,0.211
