stringdb::database identifier,Degree,BetweennessCentrality,ClosenessCentrality,Stress,Radiality,NeighborhoodConnectivity,Eccentricity,ClusteringCoefficient,TopologicalCoefficient
9606.ENSP00000215832,20,0.0042438935672141,0.625,88,0.988,27.55,2,0.7684210526315789,0.551
9606.ENSP00000498321,24,0.0108495709796967,0.6578947368421053,146,0.9896,26.20833333333333,2,0.7355072463768116,0.5241666666666667
9606.ENSP00000384906,20,0.0020499741570819,0.625,60,0.988,28.8,2,0.8421052631578947,0.576
9606.ENSP00000357726,25,0.0086995173693853,0.6666666666666666,198,0.99,25.32,2,0.67,0.5064
9606.ENSP00000295897,37,0.0347737050022701,0.7936507936507936,644,0.9948,22.2972972972973,2,0.5165165165165165,0.4459459459459459
9606.ENSP00000291700,24,0.0288655787205857,0.6578947368421053,258,0.9896,23.33333333333333,2,0.532608695652174,0.4666666666666667
9606.ENSP00000363089,36,0.0252826755626525,0.78125,540,0.9944,23.30555555555556,2,0.5714285714285714,0.4661111111111111
9606.ENSP00000263341,38,0.033751680480637,0.8064516129032259,658,0.9952,22.473684210526315,2,0.5320056899004267,0.4494736842105263
9606.ENSP00000364210,50,0.2330300619631001,1.0,1566,1.0,18.68,1,0.3608163265306122,0.3736
9606.ENSP00000302961,23,0.0045545897346617,0.6493506493506493,114,0.9892,27.608695652173918,2,0.7747035573122529,0.5521739130434783
9606.ENSP00000398698,40,0.0423555618600286,0.8333333333333334,776,0.996,22.0,2,0.5025641025641026,0.44
9606.ENSP00000226574,30,0.0141333974031703,0.7142857142857143,296,0.992,24.73333333333333,2,0.6597701149425287,0.4946666666666666
9606.ENSP00000345347,29,0.0091635589358591,0.7042253521126761,244,0.9916,25.517241379310345,2,0.6995073891625616,0.5103448275862069
9606.ENSP00000371067,18,0.0028643080275733,0.6097560975609756,54,0.9872,28.27777777777778,2,0.8235294117647058,0.5655555555555556
9606.ENSP00000284981,25,0.0138726997175026,0.6666666666666666,190,0.99,25.52,2,0.6833333333333333,0.5104
9606.ENSP00000367851,26,0.0059645783604016,0.6756756756756757,168,0.9904,26.07692307692308,2,0.7415384615384616,0.5215384615384615
9606.ENSP00000385675,40,0.0439007513644018,0.8333333333333334,780,0.996,21.875,2,0.5,0.4375
9606.ENSP00000358548,7,0.0,0.5376344086021505,0,0.9828,25.285714285714285,2,1.0,0.5057142857142857
9606.ENSP00000407586,13,0.0018127926495273,0.5747126436781609,32,0.9852,27.23076923076923,2,0.7948717948717948,0.5446153846153846
9606.ENSP00000256078,16,0.0070542892481668,0.5952380952380952,76,0.9864,25.75,2,0.6833333333333333,0.515
9606.ENSP00000263025,30,0.0155938145370568,0.7142857142857143,316,0.992,24.466666666666665,2,0.6367816091954023,0.4893333333333333
9606.ENSP00000216336,12,8.651286601597161e-05,0.5681818181818182,4,0.9848,32.583333333333336,2,0.9696969696969696,0.6516666666666666
9606.ENSP00000357727,19,0.0043989604499808,0.6172839506172839,88,0.9876,26.210526315789476,2,0.7426900584795322,0.5242105263157895
9606.ENSP00000260010,30,0.0204663569606196,0.7142857142857143,310,0.992,24.6,2,0.6436781609195402,0.492
9606.ENSP00000380948,21,0.0021656925232268,0.6329113924050632,70,0.9884,28.0,2,0.8333333333333334,0.56
9606.ENSP00000362057,13,0.0005116829340431825,0.5747126436781609,14,0.9852,31.23076923076923,2,0.9102564102564102,0.6246153846153846
9606.ENSP00000263317,13,0.0003949112112377418,0.5747126436781609,12,0.9852,31.307692307692307,2,0.9230769230769232,0.6261538461538462
9606.ENSP00000318585,11,0.0005782312925170067,0.5617977528089888,12,0.9844,31.0,2,0.8909090909090909,0.62
9606.ENSP00000252486,25,0.0106362019999474,0.6666666666666666,208,0.99,24.92,2,0.6533333333333333,0.4984
9606.ENSP00000264896,22,0.0026482600915023,0.641025641025641,90,0.9888,28.181818181818183,2,0.8051948051948052,0.5636363636363636
9606.ENSP00000415743,25,0.0060362745713535,0.6666666666666666,164,0.99,26.72,2,0.7266666666666667,0.5344
9606.ENSP00000261693,23,0.0040234404666827,0.6493506493506493,118,0.9892,27.52173913043478,2,0.766798418972332,0.5504347826086956
9606.ENSP00000353874,18,0.0003915868711787079,0.6097560975609756,16,0.9872,30.11111111111111,2,0.9477124183006536,0.6022222222222222
9606.ENSP00000237014,11,0.0012808551992225,0.5617977528089888,20,0.9844,28.363636363636363,2,0.8181818181818182,0.5672727272727273
9606.ENSP00000367668,8,0.00020408163265306123,0.5434782608695652,4,0.9832,27.25,2,0.9285714285714286,0.545
9606.ENSP00000357709,13,0.0051818630940192,0.5747126436781609,66,0.9852,21.615384615384617,2,0.5769230769230769,0.4323076923076923
9606.ENSP00000436126,16,0.0008927221120748418,0.5952380952380952,26,0.9864,29.75,2,0.8916666666666667,0.595
9606.ENSP00000243077,18,0.0039185892630007,0.6097560975609756,80,0.9872,27.05555555555556,2,0.738562091503268,0.5411111111111111
9606.ENSP00000361366,12,0.0056870748299319,0.5681818181818182,48,0.9848,26.416666666666668,2,0.6363636363636364,0.5283333333333333
9606.ENSP00000316152,7,0.001654710368996,0.5376344086021505,16,0.9828,17.714285714285715,2,0.6190476190476191,0.3542857142857142
9606.ENSP00000278282,10,0.0049941690962099,0.5555555555555556,40,0.984,22.0,2,0.5555555555555556,0.44
9606.ENSP00000397082,6,0.0006122448979591836,0.5319148936170213,6,0.9824,19.0,2,0.8,0.38
9606.ENSP00000292169,13,0.0053323116792504,0.5747126436781609,64,0.9852,22.76923076923077,2,0.5897435897435898,0.4553846153846154
9606.ENSP00000357721,17,0.0052637664514328,0.6024096385542169,74,0.9868,27.235294117647054,2,0.7279411764705882,0.5447058823529412
9606.ENSP00000357704,13,0.0036560355744029,0.5747126436781609,52,0.9852,26.692307692307693,2,0.6666666666666666,0.5338461538461539
9606.ENSP00000357711,14,0.0042494421678095,0.5813953488372093,58,0.9856,24.285714285714285,2,0.6813186813186813,0.4857142857142857
9606.ENSP00000271638,7,0.0010423861852433,0.5376344086021505,14,0.9828,20.142857142857142,2,0.6666666666666666,0.4028571428571428
9606.ENSP00000499683,5,0.0,0.5263157894736842,0,0.982,17.0,2,1.0,0.34
9606.ENSP00000373706,3,5.830903790087463e-05,0.5154639175257733,2,0.9812,32.666666666666664,2,0.6666666666666666,0.6533333333333333
9606.ENSP00000392767,5,0.0,0.5263157894736842,0,0.982,22.8,2,1.0,0.456
9606.ENSP00000296370,3,0.0,0.5154639175257733,0,0.9812,29.0,2,1.0,0.58
