"interaction","name","selected","shared interaction","shared name","stringdb::coexpression","stringdb::cooccurrence","stringdb::databases","stringdb::experiments","stringdb::fusion","stringdb::interspecies","stringdb::neighborhood","stringdb::score","stringdb::textmining"
"pp","9606.ENSP00000215832 (pp) 9606.ENSP00000498321","false","pp","9606.ENSP00000215832 (pp) 9606.ENSP00000498321","0.063","0.0","0.0","0.074","0.0",,"0.0","0.421","0.385"
"pp","9606.ENSP00000215832 (pp) 9606.ENSP00000384906","false","pp","9606.ENSP00000215832 (pp) 9606.ENSP00000384906","0.0","0.0","0.5","0.0","0.0",,"0.0","0.509","0.06"
"pp","9606.ENSP00000215832 (pp) 9606.ENSP00000357726","false","pp","9606.ENSP00000215832 (pp) 9606.ENSP00000357726","0.068","0.0","0.5","0.072","0.0",,"0.0","0.545","0.072"
"pp","9606.ENSP00000215832 (pp) 9606.ENSP00000295897","false","pp","9606.ENSP00000215832 (pp) 9606.ENSP00000295897","0.0","0.0","0.0","0.0","0.0",,"0.0","0.563","0.563"
"pp","9606.ENSP00000215832 (pp) 9606.ENSP00000291700","false","pp","9606.ENSP00000215832 (pp) 9606.ENSP00000291700","0.0","0.0","0.5","0.0","0.0",,"0.0","0.569","0.175"
"pp","9606.ENSP00000215832 (pp) 9606.ENSP00000363089","false","pp","9606.ENSP00000215832 (pp) 9606.ENSP00000363089","0.122","0.0","0.0","0.041","0.0",,"0.0","0.606","0.57"
"pp","9606.ENSP00000215832 (pp) 9606.ENSP00000263341","false","pp","9606.ENSP00000215832 (pp) 9606.ENSP00000263341","0.052","0.0","0.0","0.0","0.0",,"0.0","0.653","0.649"
"pp","9606.ENSP00000215832 (pp) 9606.ENSP00000364210","false","pp","9606.ENSP00000215832 (pp) 9606.ENSP00000364210","0.055","0.0","0.5","0.0","0.0",,"0.0","0.666","0.35"
"pp","9606.ENSP00000215832 (pp) 9606.ENSP00000302961","false","pp","9606.ENSP00000215832 (pp) 9606.ENSP00000302961","0.126","0.0","0.0","0.1","0.0",,"0.0","0.685","0.631"
"pp","9606.ENSP00000215832 (pp) 9606.ENSP00000398698","false","pp","9606.ENSP00000215832 (pp) 9606.ENSP00000398698","0.083","0.0","0.0","0.0","0.0",,"0.0","0.757","0.746"
"pp","9606.ENSP00000215832 (pp) 9606.ENSP00000226574","false","pp","9606.ENSP00000215832 (pp) 9606.ENSP00000226574","0.06","0.0","0.0","0.072","0.0",,"0.0","0.79","0.778"
"pp","9606.ENSP00000215832 (pp) 9606.ENSP00000345347","false","pp","9606.ENSP00000215832 (pp) 9606.ENSP00000345347","0.093","0.0","0.5","0.258","0.0",,"0.0","0.792","0.456"
"pp","9606.ENSP00000215832 (pp) 9606.ENSP00000371067","false","pp","9606.ENSP00000215832 (pp) 9606.ENSP00000371067","0.112","0.0","0.5","0.11","0.0",,"0.0","0.794","0.54"
"pp","9606.ENSP00000215832 (pp) 9606.ENSP00000284981","false","pp","9606.ENSP00000215832 (pp) 9606.ENSP00000284981","0.082","0.0","0.5","0.073","0.0",,"0.0","0.827","0.643"
"pp","9606.ENSP00000215832 (pp) 9606.ENSP00000367851","false","pp","9606.ENSP00000215832 (pp) 9606.ENSP00000367851","0.067","0.0","0.9","0.058","0.0",,"0.0","0.926","0.26"
"pp","9606.ENSP00000215832 (pp) 9606.ENSP00000385675","false","pp","9606.ENSP00000215832 (pp) 9606.ENSP00000385675","0.055","0.0","0.4","0.0","0.0",,"0.0","0.936","0.897"
